Year,Round,Region Number,Region Name,Seed,Score,Team,Team,Score,Seed
1987,1,4,East,2,79,Syracuse,Georgia Southern,73,15
1987,1,4,East,3,104,Purdue,Northeastern,95,14
1987,1,4,East,4,76,TCU,Marshall,60,13
1987,1,4,East,5,84,Notre Dame,Middle Tennessee St,71,12
1987,1,4,East,6,82,Florida,NC State,70,11
1987,1,4,East,7,62,West Virginia,Western Kentucky,64,10
1987,1,4,East,8,82,Navy,Michigan,97,9
1987,2,1,West,1,80,UNLV,Kansas St,61,9
1987,2,1,West,2,84,Iowa,UTEP,82,7
1987,2,1,West,3,93,Pittsburgh,Oklahoma,96,6
1987,2,1,West,4,68,UCLA,Wyoming,78,12
1987,2,2,Midwest,1,107,Indiana,Auburn,90,8
1987,2,2,Midwest,2,62,Temple,LSU,72,10
1987,2,2,Midwest,3,83,DePaul,St Johns,75,6
1987,2,2,Midwest,13,60,Xavier,Duke,65,5
1987,2,3,Southeast,1,82,Georgetown,Ohio St,79,9
1987,2,3,Southeast,2,101,Alabama,New Orleans,76,7
1987,2,3,Southeast,14,87,Austin Peay,Providence,90,6
1987,2,3,Southeast,13,63,Southwest Missouri St,Kansas,67,5
1987,2,4,East,1,109,North Carolina,Michigan,97,9
1987,2,4,East,2,104,Syracuse,Western Kentucky,86,10
1987,2,4,East,3,66,Purdue,Florida,85,6
1987,2,4,East,4,57,TCU,Notre Dame,58,5
1987,3,1,West,1,92,UNLV,Wyoming,78,12
1987,3,1,West,2,93,Iowa,Oklahoma,91,6
1987,3,2,Midwest,1,88,Indiana,Duke,82,5
1987,3,2,Midwest,10,63,LSU,DePaul,58,3
1987,3,3,Southeast,1,70,Georgetown,Kansas,57,5
1987,3,3,Southeast,2,82,Alabama,Providence,103,6
1987,3,4,East,1,74,North Carolina,Notre Dame,68,5
1987,3,4,East,2,87,Syracuse,Florida,81,6
1987,4,1,West,1,84,UNLV,Iowa,81,2
1987,4,2,Midwest,1,77,Indiana,LSU,76,10
1987,4,3,Southeast,1,73,Georgetown,Providence,88,6
1987,4,4,East,1,75,North Carolina,Syracuse,79,2
1987,5,1,Final Four,1,93,UNLV,Indiana,97,1
1987,5,2,Final Four,6,63,Providence,Syracuse,67,2
1987,6,1,Championship,1,74,Indiana,Syracuse,73,2
1988,1,1,Midwest,1,94,Purdue,Fairleigh Dickinson,79,16
1988,1,1,Midwest,2,108,Pittsburgh,Eastern Michigan,90,15
1988,1,1,Midwest,3,75,NC State,Murray St,78,14
1988,1,1,Midwest,4,66,Kansas St,La Salle,53,13
1988,1,1,Midwest,5,83,DePaul,Wichita St,62,12
1988,1,1,Midwest,6,85,Kansas,Xavier,72,11
1988,1,1,Midwest,7,80,Vanderbilt,Utah St,77,10
1988,1,1,Midwest,8,60,Baylor,Memphis,75,9
1988,1,2,East,1,87,Temple,Lehigh,73,16
1988,1,2,East,2,85,Duke,Boston University,69,15
1988,1,2,East,3,69,Syracuse,North Carolina A&T,55,14
1988,1,2,East,4,69,Indiana,Richmond,72,13
1988,1,2,East,5,90,Georgia Tech,Iowa St,78,12
1988,1,2,East,6,80,Missouri,Rhode Island,87,11
1988,1,2,East,7,83,SMU,Notre Dame,75,10
1988,1,2,East,8,66,Georgetown,LSU,63,9
1988,1,3,West,1,90,Arizona,Cornell,50,16
1988,1,3,West,2,83,North Carolina,North Texas St,65,15
1988,1,3,West,3,63,Michigan,Boise St,58,14
1988,1,3,West,4,54,UNLV,Southwest Missouri St,50,13
1988,1,3,West,5,102,Iowa,Florida St,98,12
1988,1,3,West,6,62,Florida,St Johns,59,11
1988,1,3,West,7,115,Wyoming,Loyola Marymount,119,10
1988,1,3,West,8,80,Seton Hall,UTEP,64,9
1988,1,4,Southeast,1,94,Oklahoma,Chattanooga,66,16
1988,1,4,Southeast,2,99,Kentucky,Southern,84,15
1988,1,4,Southeast,3,81,Illinois,Texas San Antonio,72,14
1988,1,4,Southeast,4,98,BYU,Charlotte,92,13
1988,1,4,Southeast,5,70,Louisville,Oregon St,61,12
1988,1,4,Southeast,6,82,Villanova,Arkansas,74,11
1988,1,4,Southeast,7,92,Maryland,Santa Barbara,82,10
1988,1,4,Southeast,8,90,Auburn,Bradley,86,9
1988,2,1,Midwest,1,100,Purdue,Memphis,73,9
1988,2,1,Midwest,2,74,Pittsburgh,Vanderbilt,80,7
1988,2,1,Midwest,14,58,Murray St,Kansas,61,6
1988,2,1,Midwest,4,66,Kansas St,DePaul,58,5
1988,2,2,East,1,74,Temple,Georgetown,53,8
1988,2,2,East,2,94,Duke,SMU,79,7
1988,2,2,East,3,94,Syracuse,Rhode Island,97,11
1988,2,2,East,13,59,Richmond,Georgia Tech,55,5
1988,2,3,West,1,84,Arizona,Seton Hall,55,8
1988,2,3,West,2,123,North Carolina,Loyola Marymount,97,10
1988,2,3,West,3,108,Michigan,Florida,85,6
1988,2,3,West,4,85,UNLV,Iowa,104,5
1988,2,4,Southeast,1,107,Oklahoma,Auburn,87,8
1988,2,4,Southeast,2,90,Kentucky,Maryland,81,7
1988,2,4,Southeast,3,63,Illinois,Villanova,66,6
1988,2,4,Southeast,4,76,BYU,Louisville,97,5
1988,3,1,Midwest,1,70,Purdue,Kansas St,73,4
1988,3,1,Midwest,7,64,Vanderbilt,Kansas,77,6
1988,3,2,East,1,69,Temple,Richmond,47,13
1988,3,2,East,2,73,Duke,Rhode Island,72,11
1988,3,3,West,1,99,Arizona,Iowa,79,5
1988,3,3,West,2,78,North Carolina,Michigan,69,3
1988,3,4,Southeast,1,108,Oklahoma,Louisville,98,5
1988,3,4,Southeast,2,74,Kentucky,Villanova,80,6
1988,4,1,Midwest,4,58,Kansas St,Kansas,71,6
1988,4,2,East,1,53,Temple,Duke,63,2
1988,4,3,West,1,70,Arizona,North Carolina,52,2
1988,4,4,Southeast,1,78,Oklahoma,Villanova,59,6
1988,5,1,Final Four,6,66,Kansas,Duke,59,2
1988,5,2,Final Four,1,78,Arizona,Oklahoma,86,1
1988,6,1,Championship,6,83,Kansas,Oklahoma,79,1
1989,1,1,Midwest,1,77,Illinois,McNeese St,71,16
1989,1,1,Midwest,2,104,Syracuse,Bucknell,81,15
1989,1,1,Midwest,3,85,Missouri,Creighton,69,14
1989,1,1,Midwest,4,76,Louisville,Arkansas Little Rock,71,13
1989,1,1,Midwest,5,120,Arkansas,Loyola Marymount,101,12
1989,1,1,Midwest,6,70,Georgia Tech,Texas,76,11
1989,1,1,Midwest,7,46,Florida,Colorado St,68,10
1989,1,1,Midwest,8,64,Pittsburgh,Ball St,68,9
1989,1,2,Southeast,1,72,Oklahoma,East Tennessee St,71,16
1989,1,2,Southeast,2,93,North Carolina,Southern,79,15
1989,1,2,Southeast,3,93,Michigan,Xavier,87,14
1989,1,2,Southeast,4,83,Florida St,Middle Tennessee St,97,13
1989,1,2,Southeast,5,100,Virginia,Providence,97,12
1989,1,2,Southeast,6,84,Alabama,South Alabama,86,11
1989,1,2,Southeast,7,84,UCLA,Iowa St,74,10
1989,1,2,Southeast,8,74,La Salle,Louisiana Tech,83,9
1989,1,3,East,1,50,Georgetown,Princeton,49,16
1989,1,3,East,2,90,Duke,South Carolina St,69,15
1989,1,3,East,3,78,Stanford,Siena,80,14
1989,1,3,East,4,87,Iowa,Rutgers,73,13
1989,1,3,East,5,81,NC State,South Carolina,66,12
1989,1,3,East,6,75,Kansas St,Minnesota,86,11
1989,1,3,East,7,84,West Virginia,Tennessee,68,10
1989,1,3,East,8,65,Vanderbilt,Notre Dame,81,9
1989,1,4,West,1,94,Arizona,Robert Morris,60,16
1989,1,4,West,2,99,Indiana,George Mason,85,15
1989,1,4,West,3,60,Seton Hall,Southwest Missouri St,51,14
1989,1,4,West,4,68,UNLV,Idaho,56,13
1989,1,4,West,5,63,Memphis,DePaul,66,12
1989,1,4,West,6,90,Oregon St,Evansville,94,11
1989,1,4,West,7,85,UTEP,LSU,74,10
1989,1,4,West,8,70,St Marys,Clemson,80,9
1989,2,1,Midwest,1,72,Illinois,Ball St,60,9
1989,2,1,Midwest,2,65,Syracuse,Colorado St,50,10
1989,2,1,Midwest,3,108,Missouri,Texas,89,11
1989,2,1,Midwest,4,93,Louisville,Arkansas,84,5
1989,2,2,Southeast,1,124,Oklahoma,Louisiana Tech,81,9
1989,2,2,Southeast,2,88,North Carolina,UCLA,81,7
1989,2,2,Southeast,3,91,Michigan,South Alabama,82,11
1989,2,2,Southeast,13,88,Middle Tennessee St,Virginia,104,5
1989,2,3,East,1,81,Georgetown,Notre Dame,74,9
1989,2,3,East,2,70,Duke,West Virginia,63,7
1989,2,3,East,14,67,Siena,Minnesota,80,11
1989,2,3,East,4,96,Iowa,NC State,102,5
1989,2,4,West,1,94,Arizona,Clemson,68,9
1989,2,4,West,2,92,Indiana,UTEP,69,7
1989,2,4,West,3,87,Seton Hall,Evansville,73,11
1989,2,4,West,4,85,UNLV,DePaul,70,12
1989,3,1,Midwest,1,83,Illinois,Louisville,69,4
1989,3,1,Midwest,2,83,Syracuse,Missouri,80,3
1989,3,2,Southeast,1,80,Oklahoma,Virginia,86,5
1989,3,2,Southeast,2,87,North Carolina,Michigan,92,3
1989,3,3,East,1,69,Georgetown,NC State,61,5
1989,3,3,East,2,87,Duke,Minnesota,70,11
1989,3,4,West,1,67,Arizona,UNLV,68,4
1989,3,4,West,2,65,Indiana,Seton Hall,78,3
1989,4,1,Midwest,1,89,Illinois,Syracuse,86,2
1989,4,2,Southeast,5,65,Virginia,Michigan,102,3
1989,4,3,East,1,77,Georgetown,Duke,85,2
1989,4,4,West,4,61,UNLV,Seton Hall,84,3
1989,5,1,Final Four,1,81,Illinois,Michigan,83,3
1989,5,2,Final Four,2,78,Duke,Seton Hall,95,3
1989,6,1,Championship,3,80,Michigan,Seton Hall,79,3
1990,1,1,Southeast,1,75,Michigan St,Murray St,71,16
1990,1,1,Southeast,2,70,Syracuse,Coppin St,48,15
1990,1,1,Southeast,3,71,Missouri,Northern Iowa,74,14
1990,1,1,Southeast,4,99,Georgia Tech,East Tennessee St,83,13
1990,1,1,Southeast,5,70,LSU,Villanova,63,12
1990,1,1,Southeast,6,64,Minnesota,UTEP,61,11
1990,1,1,Southeast,7,75,Virginia,Notre Dame,67,10
1990,1,1,Southeast,8,66,Houston,Santa Barbara,70,9
1990,1,2,West,1,102,UNLV,Arkansas Little Rock,72,16
1990,1,2,West,2,79,Arizona,South Florida,67,15
1990,1,2,West,3,76,Michigan,Illinois St,70,14
1990,1,2,West,4,78,Louisville,Idaho,59,13
1990,1,2,West,5,53,Oregon St,Ball St,54,12
1990,1,2,West,6,92,New Mexico St,Loyola Marymount,111,11
1990,1,2,West,7,71,Alabama,Colorado St,54,10
1990,1,2,West,8,84,Ohio St,Providence,83,9
1990,1,3,East,1,76,Connecticut,Boston University,52,16
1990,1,3,East,2,79,Kansas,Robert Morris,71,15
1990,1,3,East,3,81,Duke,Richmond,46,14
1990,1,3,East,4,79,La Salle,Southern Mississippi,63,13
1990,1,3,East,5,49,Clemson,BYU,47,12
1990,1,3,East,6,81,St Johns,Temple,65,11
1990,1,3,East,7,68,UCLA,UAB,56,10
1990,1,3,East,8,63,Indiana,California,65,9
1990,1,4,Midwest,1,77,Oklahoma,Towson,68,16
1990,1,4,Midwest,2,75,Purdue,Louisiana Monroe,63,15
1990,1,4,Midwest,3,70,Georgetown,Texas Southern,52,14
1990,1,4,Midwest,4,68,Arkansas,Princeton,64,13
1990,1,4,Midwest,5,86,Illinois,Dayton,88,12
1990,1,4,Midwest,6,87,Xavier,Kansas St,79,11
1990,1,4,Midwest,7,88,Georgia,Texas,100,10
1990,1,4,Midwest,8,83,North Carolina,Southwest Missouri St,70,9
1990,2,1,Southeast,1,62,Michigan St,Santa Barbara,58,9
1990,2,1,Southeast,2,63,Syracuse,Virginia,61,7
1990,2,1,Southeast,14,78,Northern Iowa,Minnesota,81,6
1990,2,1,Southeast,4,94,Georgia Tech,LSU,91,5
1990,2,2,West,1,76,UNLV,Ohio St,65,8
1990,2,2,West,2,55,Arizona,Alabama,77,7
1990,2,2,West,3,115,Michigan,Loyola Marymount,149,11
1990,2,2,West,4,60,Louisville,Ball St,62,12
1990,2,3,East,1,74,Connecticut,California,54,9
1990,2,3,East,2,70,Kansas,UCLA,71,7
1990,2,3,East,3,76,Duke,St Johns,72,6
1990,2,3,East,4,75,La Salle,Clemson,79,5
1990,2,4,Midwest,1,77,Oklahoma,North Carolina,79,8
1990,2,4,Midwest,2,72,Purdue,Texas,73,10
1990,2,4,Midwest,3,71,Georgetown,Xavier,74,6
1990,2,4,Midwest,4,86,Arkansas,Dayton,84,12
1990,3,1,Southeast,1,80,Michigan St,Georgia Tech,81,4
1990,3,1,Southeast,2,75,Syracuse,Minnesota,82,6
1990,3,2,West,1,69,UNLV,Ball St,67,12
1990,3,2,West,7,60,Alabama,Loyola Marymount,62,11
1990,3,3,East,1,71,Connecticut,Clemson,70,5
1990,3,3,East,7,81,UCLA,Duke,90,3
1990,3,4,Midwest,8,73,North Carolina,Arkansas,96,4
1990,3,4,Midwest,10,102,Texas,Xavier,89,6
1990,4,1,Southeast,4,93,Georgia Tech,Minnesota,91,6
1990,4,2,West,1,131,UNLV,Loyola Marymount,101,11
1990,4,3,East,1,78,Connecticut,Duke,79,3
1990,4,4,Midwest,4,88,Arkansas,Texas,85,10
1990,5,1,Final Four,4,81,Georgia Tech,UNLV,90,1
1990,5,2,Final Four,3,97,Duke,Arkansas,83,4
1990,6,1,Championship,1,103,UNLV,Duke,73,3
1991,1,1,West,1,99,UNLV,Montana,65,16
1991,1,1,West,2,93,Arizona,St Francis,80,15
1991,1,1,West,3,71,Seton Hall,Pepperdine,51,14
1991,1,1,West,4,82,Utah,South Alabama,72,13
1991,1,1,West,5,60,Michigan St,Wisconsin Green Bay,58,12
1991,1,1,West,6,56,New Mexico St,Creighton,64,11
1991,1,1,West,7,48,Virginia,BYU,61,10
1991,1,1,West,8,70,Georgetown,Vanderbilt,60,9
1991,1,2,Midwest,1,97,Ohio St,Towson,86,16
1991,1,2,Midwest,2,102,Duke,Louisiana Monroe,73,15
1991,1,2,Midwest,3,84,Nebraska,Xavier,89,14
1991,1,2,Midwest,4,75,St Johns,Northern Illinois,68,13
1991,1,2,Midwest,5,73,Texas,St Peters,65,12
1991,1,2,Midwest,6,62,LSU,Connecticut,79,11
1991,1,2,Midwest,7,76,Iowa,East Tennessee St,73,10
1991,1,2,Midwest,8,87,Georgia Tech,DePaul,70,9
1991,1,3,East,1,101,North Carolina,Northeastern,66,16
1991,1,3,East,2,69,Syracuse,Richmond,73,15
1991,1,3,East,3,67,Oklahoma St,New Mexico,54,14
1991,1,3,East,4,69,UCLA,Penn St,74,13
1991,1,3,East,5,56,Mississippi St,Eastern Michigan,76,12
1991,1,3,East,6,114,NC State,Southern Mississippi,85,11
1991,1,3,East,7,63,Purdue,Temple,80,10
1991,1,3,East,8,48,Princeton,Villanova,50,9
1991,1,4,Southeast,1,117,Arkansas,Georgia St,76,16
1991,1,4,Southeast,2,79,Indiana,Coastal Carolina,69,15
1991,1,4,Southeast,3,55,Kansas,New Orleans,49,14
1991,1,4,Southeast,4,89,Alabama,Murray St,79,13
1991,1,4,Southeast,5,71,Wake Forest,Louisiana Tech,65,12
1991,1,4,Southeast,6,76,Pittsburgh,Georgia,68,11
1991,1,4,Southeast,7,75,Florida St,USC,72,10
1991,1,4,Southeast,8,79,Arizona St,Rutgers,76,9
1991,2,1,West,1,62,UNLV,Georgetown,54,8
1991,2,1,West,2,76,Arizona,BYU,61,10
1991,2,1,West,3,81,Seton Hall,Creighton,69,11
1991,2,1,West,4,85,Utah,Michigan St,84,5
1991,2,2,Midwest,1,65,Ohio St,Georgia Tech,61,8
1991,2,2,Midwest,2,85,Duke,Iowa,70,7
1991,2,2,Midwest,14,50,Xavier,Connecticut,66,11
1991,2,2,Midwest,4,84,St Johns,Texas,76,5
1991,2,3,East,1,84,North Carolina,Villanova,69,9
1991,2,3,East,15,64,Richmond,Temple,77,10
1991,2,3,East,3,73,Oklahoma St,NC State,64,6
1991,2,3,East,13,68,Penn St,Eastern Michigan,71,12
1991,2,4,Southeast,1,97,Arkansas,Arizona St,90,8
1991,2,4,Southeast,2,82,Indiana,Florida St,60,7
1991,2,4,Southeast,3,77,Kansas,Pittsburgh,66,6
1991,2,4,Southeast,4,96,Alabama,Wake Forest,88,5
1991,3,1,West,1,83,UNLV,Utah,66,4
1991,3,1,West,2,77,Arizona,Seton Hall,81,3
1991,3,2,Midwest,1,74,Ohio St,St Johns,91,4
1991,3,2,Midwest,2,81,Duke,Connecticut,67,11
1991,3,3,East,1,93,North Carolina,Eastern Michigan,67,12
1991,3,3,East,10,72,Temple,Oklahoma St,63,3
1991,3,4,Southeast,1,93,Arkansas,Alabama,70,4
1991,3,4,Southeast,2,65,Indiana,Kansas,83,3
1991,4,1,West,1,77,UNLV,Seton Hall,65,3
1991,4,2,Midwest,4,61,St Johns,Duke,78,2
1991,4,3,East,1,75,North Carolina,Temple,72,10
1991,4,4,Southeast,1,81,Arkansas,Kansas,93,3
1991,5,1,Final Four,1,77,UNLV,Duke,79,2
1991,5,2,Final Four,1,73,North Carolina,Kansas,79,3
1991,6,1,Championship,2,72,Duke,Kansas,65,3
1992,1,1,Midwest,1,100,Kansas,Howard,67,16
1992,1,1,Midwest,2,84,USC,Louisiana Monroe,54,15
1992,1,1,Midwest,3,80,Arkansas,Murray St,69,14
1992,1,1,Midwest,4,85,Cincinnati,Delaware,47,13
1992,1,1,Midwest,5,61,Michigan St,Southwest Missouri St,54,12
1992,1,1,Midwest,6,80,Memphis,Pepperdine,70,11
1992,1,1,Midwest,7,65,Georgia Tech,Houston,60,10
1992,1,1,Midwest,8,50,Evansville,UTEP,55,9
1992,1,2,Southeast,1,83,Ohio St,Mississippi Valley St,56,16
1992,1,2,Southeast,2,100,Oklahoma St,Georgia Southern,73,15
1992,1,2,Southeast,3,80,Arizona,East Tennessee St,87,14
1992,1,2,Southeast,4,68,North Carolina,Miami Ohio,63,13
1992,1,2,Southeast,5,80,Alabama,Stanford,75,12
1992,1,2,Southeast,6,73,Michigan,Temple,66,11
1992,1,2,Southeast,7,57,St Johns,Tulane,61,10
1992,1,2,Southeast,8,65,Nebraska,Connecticut,86,9
1992,1,3,East,1,82,Duke,Campbell,56,16
1992,1,3,East,2,88,Kentucky,Old Dominion,69,15
1992,1,3,East,3,85,Massachusetts,Fordham,58,14
1992,1,3,East,4,78,Seton Hall,La Salle,76,13
1992,1,3,East,5,89,Missouri,West Virginia,78,12
1992,1,3,East,6,51,Syracuse,Princeton,43,11
1992,1,3,East,7,74,Charlotte,Iowa St,76,10
1992,1,3,East,8,92,Texas,Iowa,98,9
